Round 0: src_acc=0.982778, tgt_acc=0.965926, best_tgt=0.965926
Round 1: src_acc=0.996667, tgt_acc=0.985185, best_tgt=0.985185
Round 2: src_acc=0.992407, tgt_acc=0.982222, best_tgt=0.985185
Round 3: src_acc=0.993889, tgt_acc=0.985185, best_tgt=0.985185
Round 4: src_acc=0.999630, tgt_acc=0.993333, best_tgt=0.993333
Round 5: src_acc=0.998519, tgt_acc=0.991852, best_tgt=0.993333
Round 6: src_acc=0.998889, tgt_acc=0.984444, best_tgt=0.993333
Round 7: src_acc=1.000000, tgt_acc=0.994074, best_tgt=0.994074
Round 8: src_acc=0.998704, tgt_acc=0.994074, best_tgt=0.994074
Round 9: src_acc=0.998148, tgt_acc=0.994074, best_tgt=0.994074
Round 10: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997037
Round 11: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997037
Round 12: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997037
Round 13: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.997778
Round 14: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 15: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.997778
Round 16: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.997778
Round 17: src_acc=1.000000, tgt_acc=0.998519, best_tgt=0.998519
Round 18: src_acc=1.000000, tgt_acc=0.998519, best_tgt=0.998519
Round 19: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 20: src_acc=1.000000, tgt_acc=0.997037, best_tgt=0.998519
Round 21: src_acc=1.000000, tgt_acc=0.998519, best_tgt=0.998519
Round 22: src_acc=1.000000, tgt_acc=0.998519, best_tgt=0.998519
Round 23: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 24: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 25: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 26: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 27: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 28: src_acc=1.000000, tgt_acc=0.998519, best_tgt=0.998519
Round 29: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 30: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 31: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 32: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 33: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 34: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 35: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 36: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 37: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 38: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 39: src_acc=1.000000, tgt_acc=0.998519, best_tgt=0.998519
Round 40: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 41: src_acc=1.000000, tgt_acc=0.998519, best_tgt=0.998519
Round 42: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 43: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 44: src_acc=1.000000, tgt_acc=0.998519, best_tgt=0.998519
Round 45: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 46: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 47: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 48: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
Round 49: src_acc=1.000000, tgt_acc=0.997778, best_tgt=0.998519
